height, complexity, surroundings, distance, moving
Tall, High, Urban, Very Long Shot, Moving Aerial Pan Shot
Tall, High, Suburban, Medium Shot, Moving Aerial Tilt Shot
Tall, High, Natural, Medium Shot, Bird's-eye Shot
Tall, Medium, Urban, Medium Shot, Bird's-eye Shot
Tall, Medium, Suburban, Medium Shot, Moving Aerial Pan Shot
Tall, Medium, Natural, Very Long Shot, Survey Shot
Tall, Low, Urban, Medium Shot, Pedestal/Elevator Shot
Tall, Low, Suburban, Close-up, Moving Aerial Tilt Shot
Tall, Low, Natural, Very Long Shot, Fly-through Shot
Medium, High, Urban, Medium Shot, Survey Shot
Medium, High, Suburban, Very Long Shot, Fly-through Shot
Medium, High, Natural, Medium Shot, Moving Aerial Pan Shot
Medium, Medium, Urban, Very Long Shot, Pedestal/Elevator Shot
Medium, Medium, Suburban, Medium Shot, Moving bird's-eye Shot
Medium, Medium, Natural, Medium Shot, Survey Shot
Medium, Low, Urban, Close-up, Bird's-eye Shot
Medium, Low, Suburban, Medium Shot, Fly-through Shot
Medium, Low, Natural, Very Long Shot, Moving bird's-eye Shot
Short, High, Urban, Medium Shot, Moving bird's-eye Shot
Short, High, Suburban, Very Long Shot, Moving Aerial Pan Shot
Short, High, Natural, Medium Shot, Moving Aerial Tilt Shot
Short, Medium, Urban, Medium Shot, Fly-through Shot
Short, Medium, Suburban, Close-up, Pedestal/Elevator Shot
Short, Medium, Natural, Very Long Shot, Survey Shot
Short, Low, Urban, Very Long Shot, Moving Aerial Tilt Shot
Short, Low, Suburban, Close-up, Moving Aerial Pan Shot
Short, Low, Natural, Medium Shot, Bird's-eye Shot
